Region,Node_Name,Node_Type,Connected_Site,Remark
SHAT,SHATGP,FN,SHATGP,SHAT Region
SHAT,SHATGP,FN,SHAT010,
SHAT,SHATGP,FN,BYDA006,
SHAT,SHATGP,FN,COAST210,
SHAT,SHATGP,FN,SHAT002,
SHAT,SHATGP,FN,SHAT004,
SHAT,SHATGP,FN,BYDA-R2,
SHAT,SHATGP,FN,COAST126,
SHAT,SHATGP,FN,SHAT003,
SHAT,SHATGP,FN,SHAT001,
SHAT,BYDA007,FN,BYDA007,
SHAT,BYDA007,FN,SHAT005,
SHAT,BYDA007,FN,COAST197,
SHAT,BYDA007,FN,BYDA008 (FTTS),
SHAT,BYDA007,FN,BYDA029,
SHAT,BYDA007,FN,BYDA037,
SHAT,BYDA007,FN,BYDA045,
SHAT,BYDA007,FN,BYDA036,
SHAT,BYDA008 (FTTS),HUB,BYDA008 (FTTS),
SHAT,BYDA008 (FTTS),HUB,BYDA029,
SHAT,BYDA008 (FTTS),HUB,BYDA036,
SHAT,SHAT005,HUB,SHAT005,
SHAT,SHAT005,HUB,COAST197,
SHAT,COAST199,HUB,COAST199,
SHAT,COAST199,HUB,COAST209,
SHAT,COAST009,FN,COAST009,
SHAT,COAST009,FN,BYDA011,
SHAT,COAST009,FN,COAST199,
SHAT,COAST009,FN,COAST209,
SHAT,COAST009,FN,COAST124,
SHAT,COAST009,FN,COAST010,
SHAT,SHAT002,HUB,SHAT002,
SHAT,SHAT002,HUB,SHAT004,
SHAT,SUSA001,FN,SUSA001,
SHAT,SUSA001,FN,SUSA002,
SHAT,BYDAR2,HUB,BYDA-R2,
SHAT,BYDAR2,HUB,SHAT003,
SHAT,BYDAR2,HUB,COAST126,
